beer_id,brewer,beer_name,abv
341,Ballast Point Brewing Company,Mango Even Keel,3.8
342,Ballast Point Brewing Company,Sculpin  Pineapple,7
343,Evolution Craft Brewing Company,Lot 3 IPA,6.8
344,Black Raven Brewing Co.,Trickster IPA,6.8
345,Fat Head's Brewery &amp; Saloon,Sunshine Daydream Session IPA,4.9
346,Fat Head's Brewery &amp; Saloon,Head Hunter,7.5
347,Fat Head's Brewery &amp; Saloon,Hop Stalker Fresh Hop IPA,7.5
348,COOP Ale Works,F5 IPA,7.1
349,Hop Valley Brewing Company,Citrus Mistress,6.3
350,Hop Valley Brewing Company,Alphadelic IPA,7.2
351,Anderson Valley Brewing Company,Hop Ottin IPA,7
352,DuClaw Brewing Company,HellRazer,7.5
353,DuClaw Brewing Company,Neon Gypsy,6.5
354,New Belgium Brewing,The Hemperor,7
355,New Belgium Brewing,Voodoo Ranger IPA,7
356,New Belgium Brewing,Citradelic Tangerine IPA,6
357,New Belgium Brewing,Slow Ride Session IPA,4.5
358,Lake Placid Craft Brewing Company,Lake Placid India Pale Ale,6.8
359,Driftwood Brewery,Fat Tug IPA,7
360,New Orleans Lager &amp; Ale Brewing Company (NOLA),Hopitoulas IPA,6
361,Aviator Brewing Company,HogWild IPA,6.7
362,Upslope Brewing Company - Lee Hill,India Pale Ale,7.2
363,Lift Bridge Brewery,Hop Dish IPA,7.5
364,Devils Backbone Brewing Company,Eight Point IPA,6.2
365,Sly Fox Brewing Company,Route 113 IPA,7
366,Peekskill Brewery,Eastern Standard IPA,6.6
367,Redhook Ale Brewery,Redhook Long Hammer IPA,6.2
368,Half Acre Beer Company,Beer Hates Astronauts,7.5
369,Half Acre Beer Company,Vallejo,6.7
370,Half Acre Beer Company,Space,7
371,Half Acre Beer Company,GoneAway IPA,7
372,Cigar City Brewing,Homefront IPA,6
373,Cigar City Brewing,Jai Alai IPA  White Oak,7.5
374,Cigar City Brewing,Jai Alai IPA  Cedar Aged Humidor Series,7.5
375,Cigar City Brewing,Jai Alai IPA,7.5
376,Cigar City Brewing,Humidor Series India Pale Ale,7.5
377,Lawson's Finest Liquids,Spring Fever Session IPA,3.8
378,Lawson's Finest Liquids,Triple Play IPA,7
379,Lawson's Finest Liquids,Chinookerd,6.5
380,Lawson's Finest Liquids,Super Session 8,4.8
381,Lawson's Finest Liquids,Super Session 2,4.8
382,Humboldt Brewing Co.,Nectar IPA,6.7
383,Snake River Brewing Company &amp; Brewpub,Pakos IPA,6.8
384,(512) Brewing Company,512 IPA,7.2
385,Horny Goat Brewing Co.,Horny Goat Hopped Up And Horny,5.5
386,Good People Brewing Company,IPA,7.2
387,Marble Brewery,Marble IPA,6.8
388,10 Barrel Brewing Co.,Apocalypse IPA,6.8
389,10 Barrel Brewing Co.,Joe IPA,6.9
390,Hangar 24 Brewing,Betty,6.5
391,Santa Fe Brewing Company,Happy Camper IPA,6.6
392,Spring House Brewing Company,The Astounding SheMonster,7
393,Nebraska Brewing Company,India Pale Ale,6.9
394,Mission Brewery,Mission IPA,6.8
395,O'so Brewing Company &amp; Tap House,Hop Whoopin,7
396,SanTan Brewing Co.,HopShock IPA,7.1
397,COAST Brewing Company,HopArt IPA,7.7
398,Hopworks Urban Brewery,Abominable Winter Ale,7.3
399,Hopworks Urban Brewery,Hopworks IPA,6.6
400,BrewDog,Jack Hammer,7.2
401,BrewDog,Punk IPA,5.6
402,BrewDog,Elvis Juice,6.5
403,Laurelwood Public House &amp; Brewery,Workhorse IPA,7.5
404,Southampton Publick House,Southampton IPA,6.5
405,Eel River Brewing Co.,Organic West Coast IPA,7.2
406,Ipswich Ale Brewery,Ipswich India Pale Ale IPA,6.5
407,Mayflower Brewing Company,Mayflower IPA,6.1
408,Fort George Brewery + Public House,Vortex IPA,7.7
409,Oakshire Brewing,Watershed IPA,6.7
410,Maui Brewing Co.,Big Swell IPA,6.8
411,Great Divide Brewing Company,Rumble IPA,7.1
412,Great Divide Brewing Company,Titan IPA,7.1
413,Great Divide Brewing Company,Lasso,5
414,Tommyknocker Brewery,Pick Axe IPA,6.2
415,Atwater Brewery,Atwater Grand Circus IPA,4.2
416,Hoppin' Frog Brewery,Gangster Frog,7.5
417,Hoppin' Frog Brewery,Hoppin To Heaven IPA,6.8
418,Belhaven Brewery Company Ltd.,Belhaven Twisted Thistle IPA,6.1
419,Dark Horse Brewing Company,Crooked Tree IPA,6.5
420,Stone Brewing,IPA,6.9
